DATE,MABMM301IDA189S_NBD19900101
1990-01-01,100.00000
1991-01-01,125.71635
1992-01-01,152.27847
1993-01-01,181.95688
1994-01-01,220.98952
1995-01-01,275.78751
1996-01-01,353.57927
1997-01-01,444.80514
1998-01-01,721.26562
1999-01-01,878.11757
2000-01-01,964.96506
2001-01-01,1106.87364
2002-01-01,1195.02110
2003-01-01,1271.77750
2004-01-01,1363.03796
2005-01-01,1539.77044
2006-01-01,1777.81942
2007-01-01,2061.17394
2008-01-01,2398.51127
2009-01-01,2779.52881
2010-01-01,3118.58828
2011-01-01,3617.43537
2012-01-01,4286.01539
2013-01-01,4875.92939
2014-01-01,5435.23566
2015-01-01,6130.82879
2016-01-01,6610.27972
2017-01-01,7264.23235
2018-01-01,7763.73949
2019-01-01,8288.60098
2020-01-01,9175.01768
2021-01-01,10104.78893
2022-01-01,11171.43058
