DATE,SLUEM1524ZSIDN
1991-01-01,7.866
1992-01-01,8.242
1993-01-01,8.565
1994-01-01,13.108
1995-01-01,14.013
1996-01-01,14.951
1997-01-01,14.958
1998-01-01,16.757
1999-01-01,19.296
2000-01-01,19.177
2001-01-01,19.065
2002-01-01,21.476
2003-01-01,21.486
2004-01-01,23.678
2005-01-01,26.381
2006-01-01,24.7
2007-01-01,22.931
2008-01-01,19.703
2009-01-01,19.176
2010-01-01,17.755
2011-01-01,18.474
2012-01-01,15.744
2013-01-01,16.047
2014-01-01,16.046
2015-01-01,17.282
2016-01-01,16.039
2017-01-01,14.583
2018-01-01,16.394
2019-01-01,13.592
2020-01-01,14.783
2021-01-01,13.81
2022-01-01,14.053
2023-01-01,13.936
